headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Spreading the Word: A Deaf Boy Joins the Gang,2006-09-25,article,News,Culture,Arts,"['ANIMATED FILMS', 'Television', 'Public Television', 'Language and Languages', 'Deafness']",https://www.nytimes.com/2006/09/25/arts/television/25sign.html,nyt://article/9c9a8cc2-3866-5174-983b-7986afd2c97b,By Elizabeth Jensen
Life After a Child’s Diagnosis,2009-09-25,article,Web Log,None,Blogs,[],https://parenting.blogs.nytimes.com/2009/09/25/blogs/25parenting-revampin5625.html,nyt://article/9cecf633-f27d-5225-a5c4-69c11279a88f,By LISA BELKIN
Summary of Action in New York State Legislature's 214th Session,1991-07-14,article,News,Metropolitan Desk,New York,['Law and Legislation'],https://www.nytimes.com/1991/07/14/nyregion/summary-of-action-in-new-york-state-legislature-s-214th-session.html,nyt://article/9cf98779-f611-5d14-9f2e-08c02e2303d7,
"FOR DISABLED, A HELPING HAND",1981-02-15,article,News,Weschester Weekly Desk,New York,['Handicapped'],https://www.nytimes.com/1981/02/15/nyregion/for-disabled-a-helping-hand.html,nyt://article/9d2c2a29-35c7-5dbc-ab5f-740fe3723fc1,By Charlotte Evans
WHAT'S ON TONIGHT,2006-05-22,article,Schedule,The Arts/Cultural Desk,Arts,[],https://www.nytimes.com/2006/05/22/arts/whats-on-tonight.html,nyt://article/9d97b649-4929-581d-a794-05f79372d204,By Kathryn Shattuck
COLLEGE FOR THE LEARNING DISABLED,1982-02-21,article,News,Magazine Desk,Magazine,"['Education and Schools', 'Colleges and Universities', 'Mental Health and Disorders']",https://www.nytimes.com/1982/02/21/magazine/college-for-the-learning-disabled.html,nyt://article/9d99030b-7daa-5210-84ca-867eeb8a8805,
"WEDDINGS;Jo Anne Simon, William L. Harris",1996-06-16,article,News,Society Desk,Style,['Weddings and Engagements'],https://www.nytimes.com/1996/06/16/style/weddings-jo-anne-simon-william-l-harris.html,nyt://article/9e0db424-5598-5da6-8391-4be8cbaba9b4,
Doubts Rise on Wallace's ‘76 Strength; Some Pet Issues Have Lost Their Magic,1976-01-02,article,Archives,None,Archives,[],https://www.nytimes.com/1976/01/02/archives/new-jersey-pages-doubts-rise-on-wallaces-76-strength-some-pet.html,nyt://article/9e127bb7-0388-5ecd-b7a3-41b75839709e,By B. Drummond Ayres Jr. Special to The New York Times
Special Education Is Not A Scandal,1997-09-21,article,News,Magazine Desk,Magazine,"['Education and Schools', 'Special Education (Handicapped)']",https://www.nytimes.com/1997/09/21/magazine/special-education-is-not-a-scandal.html,nyt://article/9e17b7fa-b19a-5dc1-a32f-252595822e6f,By Brent Staples
"Runner Competes by Feel, By Vibration and by Heart",1995-03-20,article,Biography,Sports Desk,Sports,"['Deafness', 'Biographical Information', 'Pan American Games', 'Track and Field']",https://www.nytimes.com/1995/03/20/sports/pan-american-games-runner-competes-by-feel-by-vibration-and-by-heart.html,nyt://article/9e85230c-5e74-5c4a-89eb-2207302feb1c,By Jere Longman
"Patents; It Feels Like Peanut Butter, But It's Designed to Mend the Interior Walls of Damaged Arteries",1993-06-14,article,News,Financial Desk,Business Day,"['Water Pollution', 'Chemicals', 'Fertilizer', 'Medicine and Health', 'Firearms', 'AIR POLLUTION', 'Plastics', 'INVENTIONS AND INVENTORS']",https://www.nytimes.com/1993/06/14/business/patents-it-feels-like-peanut-butter-but-it-s-designed-mend-interior-walls.html,nyt://article/9ea2c976-cdbf-52ad-bcc5-c67b3807930e,By Teresa Riordan
BROADWAY,1987-04-10,article,News,Weekend Desk,Theater,['Theater'],https://www.nytimes.com/1987/04/10/theater/broadway.html,nyt://article/9ebcd2e0-1a22-5286-b659-9e490b2b5ddc,By Enid Nemy
Radio,1979-11-21,article,Archives,None,Archives,[],https://www.nytimes.com/1979/11/21/archives/radio-music.html,nyt://article/9f082763-6e3a-594f-b552-99a87e31691d,
"ABOUT WESTCHESTER;
ROLE MODELS",1986-11-09,article,News,Westchester Weekly Desk,New York,[],https://www.nytimes.com/1986/11/09/nyregion/about-westchester-role-models.html,nyt://article/9f0b3f94-ea07-5f99-b3d7-d4352870a0d5,By Lynne Ames
World's Worth of Black History and Culture,1999-11-04,article,Review,Circuits,Technology,"['Encyclopedias', 'Reviews', 'Blacks', 'Black People', 'History', 'CD-ROM (Compact Disk-Read Only Memory)', 'Computers and the Internet']",https://www.nytimes.com/1999/11/04/technology/review-world-s-worth-of-black-history-and-culture.html,nyt://article/9f1ce3ac-0daa-57ee-a42f-77f103da6d73,By Michel Marriott
Early Detection of Infant Deafness Is Vital,2000-10-31,article,News,Health & Fitness,Health,"['Deafness', 'Tests and Testing']",https://www.nytimes.com/2000/10/31/health/personal-health-early-detection-of-infant-deafness-is-vital.html,nyt://article/9f3040d5-e4de-5010-bb42-72005ec9438b,By Jane E. Brody
Measure Barring Discrimination Against Disabled Runs Into Snag,1990-03-13,article,News,National Desk,U.S.,"['Fines (Penalties)', 'Discrimination', 'Civil Rights', 'Law and Legislation', 'Demonstrations and Riots', 'Handicapped']",https://www.nytimes.com/1990/03/13/us/measure-barring-discrimination-against-disabled-runs-into-snag.html,nyt://article/9f39bb6a-0229-50da-b7ed-358bc26f9899,"By Steven A. Holmes, Special To the New York Times"
